,thema,score,change
711,자율주행차,2,0
712,자율주행차,2,1
713,자율주행차,2,0
714,자율주행차,1,1
715,자율주행차,2,0
716,자율주행차,2,0
717,자율주행차,2,1
718,자율주행차,2,0
719,자율주행차,2,1
720,자율주행차,2,1
721,자율주행차,2,1
722,자율주행차,2,1
723,자율주행차,2,0
724,자율주행차,2,0
725,항공여행,2,1
726,항공여행,0,1
727,항공여행,2,1
728,항공여행,0,0
729,항공여행,2,1
730,항공여행,1,1
731,항공여행,1,1
732,항공여행,2,1
733,항공여행,1,1
734,항공여행,2,0
735,항공여행,2,0
736,항공여행,0,0
737,항공여행,2,1
738,항공여행,2,0
739,항공여행,1,0
740,항공여행,1,1
741,항공여행,2,0
742,항공여행,2,0
743,항공여행,2,1
744,항공여행,0,0
745,항공여행,2,0
746,항공여행,1,0
747,항공여행,0,1
748,항공여행,2,0
749,항공여행,2,0
750,항공여행,2,1
751,항공여행,2,1
752,항공여행,2,1
753,항공여행,2,1
754,항공여행,2,1
755,항공여행,2,0
756,항공여행,2,1
757,항공여행,1,1
758,항공여행,2,1
759,항공여행,1,1
760,항공여행,2,1
761,항공여행,1,1
762,항공여행,2,1
763,항공여행,2,1
764,항공여행,2,0
765,항공여행,2,0
766,항공여행,2,0
767,항공여행,2,0
768,항공여행,1,1
769,항공여행,1,0
770,항공여행,1,1
771,항공여행,2,1
772,항공여행,1,1
773,항공여행,1,0
774,항공여행,0,1
775,항공여행,2,1
776,항공여행,1,0
777,항공여행,2,0
778,항공여행,2,0
779,항공여행,2,1
780,항공여행,2,0
781,항공여행,1,1
782,항공여행,2,0
783,항공여행,2,1
784,항공여행,1,1
785,항공여행,2,0
786,항공여행,0,1
787,항공여행,1,1
788,항공여행,2,0
789,항공여행,1,0
790,항공여행,2,0
791,항공여행,1,1
792,항공여행,0,0
793,항공여행,2,0
794,항공여행,2,1
795,항공여행,0,0
796,항공여행,0,1
797,항공여행,0,1
798,항공여행,1,1
799,항공여행,0,0
800,항공여행,2,0
801,항공여행,0,1
802,항공여행,2,0
803,항공여행,2,0
804,항공여행,2,0
805,항공여행,1,0
806,항공여행,0,0
807,항공여행,2,1
808,항공여행,0,1
809,항공여행,1,0
810,항공여행,1,1
811,항공여행,1,0
812,항공여행,0,0
813,항공여행,2,1
814,항공여행,0,1
815,항공여행,2,0
816,항공여행,0,1
817,항공여행,2,1
818,항공여행,0,1
819,항공여행,0,1
820,항공여행,2,0
821,항공여행,2,1
822,항공여행,2,0
823,항공여행,2,1
824,항공여행,2,1
825,항공여행,0,0
826,항공여행,0,0
827,항공여행,2,0
828,항공여행,2,0
829,항공여행,0,0
830,항공여행,2,0
831,항공여행,0,0
832,항공여행,2,1
833,항공여행,2,1
834,항공여행,0,1
835,항공여행,2,0
836,항공여행,2,1
837,항공여행,2,1
838,항공여행,2,1
839,항공여행,2,0
840,항공여행,2,1
841,항공여행,2,1
842,항공여행,1,0
843,항공여행,2,0
844,항공여행,2,1
845,항공여행,2,0
846,항공여행,2,0
847,항공여행,1,1
848,항공여행,1,1
849,항공여행,2,0
850,항공여행,2,1
851,항공여행,1,1
852,항공여행,1,1
853,항공여행,0,1
854,항공여행,0,0
855,항공여행,2,0
856,항공여행,0,0
857,항공여행,2,0
858,항공여행,2,0
859,항공여행,2,0
860,항공여행,2,0
861,항공여행,2,1
862,항공여행,2,1
863,항공여행,2,0
864,항공여행,1,0
865,항공여행,0,1
866,항공여행,2,1
867,항공여행,2,0
868,항공여행,2,0
869,항공여행,2,0
870,항공여행,1,1
871,항공여행,1,1
872,항공여행,2,0
873,항공여행,0,0
874,항공여행,2,1
875,항공여행,2,0
876,항공여행,2,1
877,항공여행,2,1
878,항공여행,0,1
879,항공여행,1,1
880,항공여행,1,1
881,항공여행,2,0
882,항공여행,1,1
883,항공여행,2,1
884,항공여행,2,0
885,항공여행,1,1
886,항공여행,2,1
887,항공여행,2,1
888,항공여행,2,1
889,항공여행,0,0
890,항공여행,1,1
891,항공여행,0,1
892,항공여행,2,0
893,항공여행,2,0
894,항공여행,1,1
895,항공여행,2,1
896,항공여행,2,1
897,항공여행,2,1
898,항공여행,2,1
899,항공여행,1,1
900,항공여행,1,1
901,항공여행,1,1
902,항공여행,2,1
903,항공여행,1,1
